dataset_key,city,original_column_name,inferred_dtype,non_null_ratio_est,sample_values,has_metadata_description,metadata_description,flag_ambiguous_or_abbrev
chicago,Chicago,Unnamed: 0,int64,1.0,3 | 89 | 197 | 673 | 911 | 1108 | 1130 | 1801 | 1868 | 1891 | 1935 | 2150 | 2193 | 2279 | 2477 | 2847 | 3023 | 3088 | 3242 | 3264,False,,True
chicago,Chicago,ID,int64,1.0,10508693 | 10508695 | 10508697 | 10508698 | 10508699 | 10508702 | 10508703 | 10508704 | 10508709 | 10508982 | 10508710 | 10508715 | 10508717 | 10508724 | 10508728 | 10508732 | 10508738 | 10508741 | 10508747 | 10508752,False,,True
chicago,Chicago,Case Number,object,1.0,HZ250496 | HZ250409 | HZ250503 | HZ250424 | HZ250455 | HZ250447 | HZ250489 | HZ250514 | HZ250523 | HZ250667 | HZ250469 | HZ250541 | HZ250415 | HZ250513 | HZ250505 | HZ250535 | HZ250440 | HZ250587 | HZ250577 | HZ250500,False,,False
chicago,Chicago,Date,object,1.0,05/03/2016 11:40:00 PM | 05/03/2016 09:40:00 PM | 05/03/2016 11:31:00 PM | 05/03/2016 10:10:00 PM | 05/03/2016 10:00:00 PM | 05/03/2016 10:35:00 PM | 05/03/2016 10:30:00 PM | 05/03/2016 09:30:00 PM | 05/03/2016 04:00:00 PM | 05/03/2016 09:44:00 PM | 05/03/2016 11:11:00 PM | 05/03/2016 05:30:00 PM | 05/03/2016 09:00:00 AM | 05/03/2016 10:08:00 PM | 05/03/2016 09:45:00 PM | 05/03/2016 08:00:00 PM | 05/03/2016 11:00:00 PM | 05/03/2016 11:37:00 PM | 05/03/2016 01:30:00 PM | 05/03/2016 06:30:00 PM,False,,False
chicago,Chicago,Block,object,1.0,013XX S SAWYER AVE | 061XX S DREXEL AVE | 053XX W CHICAGO AVE | 049XX W FULTON ST | 003XX N LOTUS AVE | 082XX S MARYLAND AVE | 027XX S STATE ST | 002XX E 46TH ST | 014XX W DEVON AVE | 069XX S ASHLAND AVE | 074XX S SOUTH SHORE DR | 006XX N WABASH AVE | 011XX W JACKSON BLVD | 028XX S DR MARTIN LUTHER KING JR DR | 016XX N CLAREMONT AVE | 072XX S RICHMOND ST | 020XX W LE MOYNE ST | 055XX S STATE ST | 100XX S SANGAMON ST | 043XX S ELLIS AVE,False,,False
chicago,Chicago,IUCR,object,1.0,0486 | 0470 | 0460 | 0820 | 041A | 143A | 0890 | 0810 | 0313 | 0910 | 0560 | 5002 | 1130 | 1153 | 1305 | 1310 | 2825 | 1477 | 2820 | 1152,False,,True
chicago,Chicago,Primary Type,object,1.0,BATTERY | PUBLIC PEACE VIOLATION | THEFT | WEAPONS VIOLATION | ROBBERY | MOTOR VEHICLE THEFT | ASSAULT | OTHER OFFENSE | DECEPTIVE PRACTICE | CRIMINAL DAMAGE | CRIMINAL TRESPASS | BURGLARY | STALKING | CRIM SEXUAL ASSAULT | NARCOTICS | SEX OFFENSE | OBSCENITY | OFFENSE INVOLVING CHILDREN | KIDNAPPING | HOMICIDE,False,,False
chicago,Chicago,Description,object,1.0,DOMESTIC BATTERY SIMPLE | RECKLESS CONDUCT | SIMPLE | $500 AND UNDER | AGGRAVATED: HANDGUN | UNLAWFUL POSS OF HANDGUN | FROM BUILDING | OVER $500 | ARMED: OTHER DANGEROUS WEAPON | AUTOMOBILE | OTHER VEHICLE OFFENSE | FRAUD OR CONFIDENCE GAME | FINANCIAL IDENTITY THEFT OVER $ 300 | CRIMINAL DEFACEMENT | TO PROPERTY | HARASSMENT BY TELEPHONE | RECKLESS FIREARM DISCHARGE | TELEPHONE THREAT | ILLEGAL USE CASH CARD | TO VEHICLE,False,,False
chicago,Chicago,Location Description,object,0.999368,"APARTMENT | RESIDENCE | STREET | SIDEWALK | CHA HALLWAY/STAIRWELL/ELEVATOR | RESIDENCE PORCH/HALLWAY | VEHICLE NON-COMMERCIAL | OTHER | RESIDENCE-GARAGE | VEHICLE-COMMERCIAL | PARKING LOT/GARAGE(NON.RESID.) | SCHOOL, PUBLIC, GROUNDS | CHA PARKING LOT/GROUNDS | MEDICAL/DENTAL OFFICE | RESTAURANT | SMALL RETAIL STORE | CTA TRAIN | SCHOOL, PUBLIC, BUILDING | HOSPITAL BUILDING/GROUNDS | DRUG STORE",False,,False
chicago,Chicago,Arrest,bool,1.0,True | False,False,,False
chicago,Chicago,Domestic,bool,1.0,True | False,False,,False
chicago,Chicago,Beat,int64,1.0,1022 | 313 | 1524 | 1532 | 1523 | 631 | 133 | 215 | 2432 | 735 | 334 | 1834 | 1232 | 1434 | 831 | 1424 | 225 | 2232 | 222 | 235,False,,False
chicago,Chicago,District,float64,0.999999,10.0 | 3.0 | 15.0 | 6.0 | 1.0 | 2.0 | 24.0 | 7.0 | 18.0 | 12.0 | 14.0 | 8.0 | 22.0 | 19.0 | 16.0 | 9.0 | 25.0 | 5.0 | 17.0 | 4.0,False,,False
chicago,Chicago,Ward,float64,0.999987,24.0 | 20.0 | 37.0 | 28.0 | 8.0 | 3.0 | 40.0 | 17.0 | 7.0 | 42.0 | 2.0 | 4.0 | 1.0 | 18.0 | 34.0 | 5.0 | 32.0 | 41.0 | 21.0 | 11.0,False,,False
chicago,Chicago,Community Area,float64,0.99996,29.0 | 42.0 | 25.0 | 44.0 | 35.0 | 38.0 | 1.0 | 67.0 | 43.0 | 8.0 | 28.0 | 24.0 | 66.0 | 40.0 | 73.0 | 39.0 | 41.0 | 7.0 | 10.0 | 34.0,False,,False
chicago,Chicago,FBI Code,object,1.0,08B | 24 | 06 | 04B | 15 | 03 | 07 | 08A | 26 | 11 | 14 | 05 | 02 | 18 | 17 | 04A | 20 | 01A | 10 | 16,False,,False
chicago,Chicago,X Coordinate,float64,0.991666,1154907.0 | 1183066.0 | 1140789.0 | 1143223.0 | 1139890.0 | 1183336.0 | 1176730.0 | 1178514.0 | 1165696.0 | 1166876.0 | 1195696.0 | 1176630.0 | 1168776.0 | 1179375.0 | 1160444.0 | 1157957.0 | 1162515.0 | 1177219.0 | 1171751.0 | 1183654.0,False,,False
chicago,Chicago,Y Coordinate,float64,0.991666,1893681.0 | 1864330.0 | 1904819.0 | 1901475.0 | 1901675.0 | 1850642.0 | 1886544.0 | 1874573.0 | 1942616.0 | 1858796.0 | 1856719.0 | 1904401.0 | 1898793.0 | 1886199.0 | 1910787.0 | 1856539.0 | 1909832.0 | 1868295.0 | 1838335.0 | 1876344.0,False,,False
chicago,Chicago,Year,int64,1.0,2016 | 2015 | 2012 | 2014 | 2013,False,,False
chicago,Chicago,Updated On,object,1.0,05/10/2016 03:56:50 PM | 05/11/2016 03:50:55 PM | 05/23/2016 03:48:54 PM | 05/11/2016 03:48:18 PM | 05/12/2016 03:48:29 PM | 05/12/2016 03:50:15 PM | 05/13/2016 03:51:16 PM | 05/13/2016 03:49:34 PM | 05/14/2016 03:51:42 PM | 05/14/2016 03:53:39 PM | 05/15/2016 03:47:49 PM | 05/15/2016 03:49:40 PM | 04/15/2016 09:20:50 AM | 05/17/2016 03:49:21 PM | 05/18/2016 03:48:26 PM | 05/19/2016 03:50:56 PM | 05/21/2016 03:51:41 PM | 05/27/2016 03:48:00 PM | 05/20/2016 03:54:40 PM | 05/23/2016 03:51:11 PM,False,,False
chicago,Chicago,Latitude,float64,0.991666,41.864073157 | 41.782921527 | 41.894908283 | 41.885686845 | 41.886297242 | 41.745354023 | 41.844023772 | 41.811133958 | 41.99813061 | 41.768096835 | 41.761733286 | 41.893026751 | 41.877811861 | 41.843016958 | 41.910900826 | 41.762089133 | 41.908237096 | 41.793935909 | 41.711843569 | 41.815875211,False,,False
chicago,Chicago,Longitude,float64,0.991666,-87.706818608 | -87.60436317 | -87.758371958 | -87.749515983 | -87.761750709 | -87.603798903 | -87.626923253 | -87.62074077 | -87.665814038 | -87.663878589 | -87.558309979 | -87.626750829 | -87.655758012 | -87.61722727 | -87.686018747 | -87.696632337 | -87.678437417 | -87.625680278 | -87.646607932 | -87.601832565,False,,False
chicago,Chicago,Location,object,0.991666,"(41.864073157, -87.706818608) | (41.782921527, -87.60436317) | (41.894908283, -87.758371958) | (41.885686845, -87.749515983) | (41.886297242, -87.761750709) | (41.745354023, -87.603798903) | (41.844023772, -87.626923253) | (41.811133958, -87.62074077) | (41.99813061, -87.665814038) | (41.768096835, -87.663878589) | (41.761733286, -87.558309979) | (41.893026751, -87.626750829) | (41.877811861, -87.655758012) | (41.843016958, -87.61722727) | (41.910900826, -87.686018747) | (41.762089133, -87.696632337) | (41.908237096, -87.678437417) | (41.793935909, -87.625680278) | (41.711843569, -87.646607932) | (41.815875211, -87.601832565)",False,,False
