dataset_key,city,original_column_name,inferred_dtype,non_null_ratio_est,sample_values,has_metadata_description,metadata_description,flag_ambiguous_or_abbrev,normalized_column_name,normalization_steps,normalized_is_empty,normalized_is_duplicate,expanded_column_name,abbreviation_rules_applied
la,Los Angeles,DR Number,int64,1.0,102005556 | 101822289 | 101105609 | 101620051 | 101910498 | 101927640 | 101323794 | 101009426 | 101621795 | 101105990 | 101204986 | 101107212 | 101111639 | 101121898 | 101209042 | 101210685 | 101210061 | 101215312 | 101316939 | 101309254,False,,False,dr_number,lowercase | replace_special_chars,False,False,dr_number,no_change
la,Los Angeles,Date Reported,object,1.0,2010-01-25T00:00:00 | 2010-11-11T00:00:00 | 2010-01-28T00:00:00 | 2010-04-07T00:00:00 | 2010-12-31T00:00:00 | 2010-10-26T00:00:00 | 2010-04-20T00:00:00 | 2010-12-21T00:00:00 | 2010-02-04T00:00:00 | 2010-01-14T00:00:00 | 2010-02-25T00:00:00 | 2010-05-05T00:00:00 | 2010-03-07T00:00:00 | 2010-03-28T00:00:00 | 2010-03-19T00:00:00 | 2010-05-26T00:00:00 | 2010-07-19T00:00:00 | 2010-03-22T00:00:00 | 2010-11-29T00:00:00 | 2010-01-06T00:00:00,False,,False,date_reported,lowercase | replace_special_chars,False,False,date_reported,no_change
la,Los Angeles,Date Occurred,object,1.0,2010-01-22T00:00:00 | 2010-11-10T00:00:00 | 2010-01-27T00:00:00 | 2010-11-07T00:00:00 | 2010-04-07T00:00:00 | 2010-12-30T00:00:00 | 2010-10-26T00:00:00 | 2010-04-20T00:00:00 | 2010-12-21T00:00:00 | 2010-02-03T00:00:00 | 2010-01-13T00:00:00 | 2010-02-24T00:00:00 | 2010-05-02T00:00:00 | 2010-10-25T00:00:00 | 2010-03-07T00:00:00 | 2010-03-27T00:00:00 | 2010-03-19T00:00:00 | 2010-05-25T00:00:00 | 2010-07-19T00:00:00 | 2010-03-22T00:00:00,False,,False,date_occurred,lowercase | replace_special_chars,False,False,date_occurred,no_change
la,Los Angeles,Time Occurred,int64,1.0,2300 | 1800 | 2230 | 1600 | 2100 | 1315 | 1230 | 1200 | 2000 | 2200 | 1530 | 2305 | 1000 | 1700 | 1300 | 1430 | 1615 | 1150 | 1220 | 1730,False,,False,time_occurred,lowercase | replace_special_chars,False,False,time_occurred,no_change
la,Los Angeles,Area ID,int64,1.0,20 | 18 | 11 | 16 | 19 | 13 | 10 | 12 | 14 | 15 | 21 | 17 | 2 | 1 | 3 | 4 | 6 | 5 | 8 | 7,True,The LAPD has 21 Community Police Stations referred to as Geographic Areas within the department. These Geographic Areas are sequentially numbered from 1-21.,False,area_id,lowercase | replace_special_chars,False,False,area_id,no_change
la,Los Angeles,Area Name,object,1.0,Olympic | Southeast | Northeast | Foothill | Mission | Newton | West Valley | 77th Street | Pacific | N Hollywood | Topanga | Devonshire | Rampart | Central | Southwest | Hollenbeck | Hollywood | Harbor | West LA | Wilshire,True,"The 21 Geographic Areas or Patrol Divisions are also given a name designation that references a landmark or the surrounding community that it is responsible for. For example 77th Street Division is located at the intersection of South Broadway and 77th Street, serving neighborhoods in South Los Angeles.",False,area_name,lowercase | replace_special_chars,False,False,area_name,no_change
la,Los Angeles,Reporting District,int64,1.0,2071 | 1803 | 1125 | 1641 | 1902 | 1964 | 1321 | 1018 | 1653 | 1115 | 1266 | 1179 | 1184 | 1169 | 1258 | 1249 | 1231 | 1383 | 1367 | 1385,False,,False,reporting_district,lowercase | replace_special_chars,False,False,reporting_district,no_change
la,Los Angeles,Crime Code,int64,1.0,510 | 330 | 850 | 625 | 946 | 668 | 886 | 310 | 813 | 440 | 745 | 943 | 354 | 648 | 350 | 320 | 888 | 420 | 900 | 220,False,,False,crime_code,lowercase | replace_special_chars,False,False,crime_code,no_change
la,Los Angeles,Crime Code Description,object,1.0,"VEHICLE - STOLEN | BURGLARY FROM VEHICLE | INDECENT EXPOSURE | OTHER ASSAULT | OTHER MISCELLANEOUS CRIME | EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER) | DISTURBING THE PEACE | BURGLARY | CHILD ANNOYING (17YRS & UNDER) | THEFT PLAIN - PETTY ($950 & UNDER) | VANDALISM - MISDEAMEANOR ($399 OR UNDER) | CRUELTY TO ANIMALS | THEFT OF IDENTITY | ARSON | THEFT, PERSON | BURGLARY, ATTEMPTED | TRESPASSING | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | VIOLATION OF COURT ORDER | ATTEMPTED ROBBERY",False,,False,crime_code_description,lowercase | replace_special_chars,False,False,crime_code_description,no_change
la,Los Angeles,MO Codes,object,0.890313,0344 1605 | 0529 | 0416 | 0344 1300 | 1307 1609 | 1402 | 0344 1307 | 1803 0344 | 0104 0325 0344 | 0344 1300 1606 | 1259 1258 1300 | 0344 0345 1822 | 0325 | 0329 1309 1822 | 0344 1607 | 0344 0358 1609 | 0344 1307 1609 | 0100 | 0329 | 0344 0358 1607,True,"Modus Operandi: Activities associated with the suspect in commission of the crime.
See attached PDF for list of MO Codes in numerical order. 



https://data.lacity.org/api/views/y8tr-7khq/files/3a967fbd-f210-4857-bc52-60230efe256c?download=true&filename=MO%20CODES%20(numerical%20order).pdf",False,mo_codes,lowercase | replace_special_chars,False,False,mo_codes,no_change
la,Los Angeles,Victim Age,int64,1.0,0 | 41 | 10 | 43 | 22 | 19 | 62 | 24 | 31 | 21 | 13 | 46 | 18 | 25 | 23 | 69 | 40 | 29 | 27 | 30,False,,False,victim_age,lowercase | replace_special_chars,False,False,victim_age,no_change
la,Los Angeles,Victim Sex,object,0.909383,F | M | X | H | -,False,,False,victim_sex,lowercase | replace_special_chars,False,False,victim_sex,no_change
la,Los Angeles,Victim Descent,object,0.909364,W | H | X | O | B | A | K | P | C | G | F | J | I | V | U | S | Z | D | L | -,False,,False,victim_descent,lowercase | replace_special_chars,False,False,victim_descent,no_change
la,Los Angeles,Premise Code,float64,0.999962,101.0 | 108.0 | 102.0 | 107.0 | 104.0 | 203.0 | 710.0 | 407.0 | 103.0 | 406.0 | 501.0 | 120.0 | 116.0 | 721.0 | 402.0 | 221.0 | 210.0 | 707.0 | 404.0 | 502.0,False,,False,premise_code,lowercase | replace_special_chars,False,False,premise_code,no_change
la,Los Angeles,Premise Description,object,0.999962,"STREET | PARKING LOT | SIDEWALK | VACANT LOT | DRIVEWAY | OTHER BUSINESS | OTHER PREMISE | HARDWARE/BUILDING SUPPLY | ALLEY | OTHER STORE | SINGLE FAMILY DWELLING | STORAGE SHED | OTHER/OUTSIDE | HIGH SCHOOL | MARKET | PUBLIC STORAGE | RESTAURANT/FAST FOOD | GARAGE/CARPORT | DEPARTMENT STORE | MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",False,,False,premise_description,lowercase | replace_special_chars,False,False,premise_description,no_change
la,Los Angeles,Weapon Used Code,float64,0.330954,511.0 | 204.0 | 400.0 | 102.0 | 109.0 | 207.0 | 304.0 | 307.0 | 301.0 | 500.0 | 212.0 | 113.0 | 205.0 | 513.0 | 217.0 | 106.0 | 114.0 | 302.0 | 200.0 | 201.0,False,,False,weapon_used_code,lowercase | replace_special_chars,False,False,weapon_used_code,no_change
la,Los Angeles,Weapon Description,object,0.330953,"VERBAL THREAT | FOLDING KNIFE | STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE) | HAND GUN | SEMI-AUTOMATIC PISTOL | OTHER KNIFE | CLUB/BAT | VEHICLE | BELT FLAILING INSTRUMENT/CHAIN | UNKNOWN WEAPON/OTHER WEAPON | BOTTLE | SIMULATED GUN | KITCHEN KNIFE | STUN GUN | SWORD | UNKNOWN FIREARM | AIR PISTOL/REVOLVER/RIFLE/BB GUN | BLUNT INSTRUMENT | KNIFE WITH BLADE 6INCHES OR LESS | KNIFE WITH BLADE OVER 6 INCHES IN LENGTH",False,,False,weapon_description,lowercase | replace_special_chars,False,False,weapon_description,no_change
la,Los Angeles,Status Code,object,0.999998,IC | AA | AO | JO | JA | CC | TH | 13,False,,False,status_code,lowercase | replace_special_chars,False,False,status_code,no_change
la,Los Angeles,Status Description,object,1.0,Invest Cont | Adult Arrest | Adult Other | Juv Other | Juv Arrest | UNK,False,,False,status_description,lowercase | replace_special_chars,False,False,status_description,no_change
la,Los Angeles,Crime Code 1,int64,0.999996,510.0 | 330.0 | 850.0 | 625.0 | 946.0 | 668.0 | 886.0 | 310.0 | 813.0 | 440.0 | 745.0 | 943.0 | 354.0 | 648.0 | 350.0 | 320.0 | 888.0 | 420.0 | 900.0 | 220.0,False,,True,crime_code_1,lowercase | replace_special_chars,False,False,crime_code_1,no_change
la,Los Angeles,Crime Code 2,float64,0.061495,998.0 | 860.0 | 745.0 | 930.0 | 330.0 | 956.0 | 946.0 | 980.0 | 910.0 | 901.0 | 888.0 | 933.0 | 740.0 | 442.0 | 653.0 | 999.0 | 624.0 | 230.0 | 668.0 | 520.0,False,,True,crime_code_2,lowercase | replace_special_chars,False,False,crime_code_2,no_change
la,Los Angeles,Crime Code 3,float64,0.001016,998.0 | 815.0 | 653.0 | 910.0 | 920.0 | 850.0 | 930.0 | 999.0 | 521.0 | 660.0 | 740.0 | 946.0 | 820.0 | 933.0 | 745.0 | 821.0 | 420.0 | 810.0 | 860.0 | 99.0,False,,True,crime_code_3,lowercase | replace_special_chars,False,False,crime_code_3,no_change
la,Los Angeles,Crime Code 4,float64,3.5e-05,998.0 | 821.0 | 910.0 | 421.0 | 999.0 | 944.0 | 860.0,False,,True,crime_code_4,lowercase | replace_special_chars,False,False,crime_code_4,no_change
la,Los Angeles,Address,object,1.0,VAN NESS | 88TH | YORK | EL DORADO | GLENOAKS | NORDHOFF | 21ST | ARMINTA | SAN FERNANDO | YOSEMITE | 8200 S  BROADWAY | 200 E  AVENUE 38 | MORTON | 200 S  AVENUE 54 | MAIN | FIGUEROA | 59TH | 75TH | BROADWAY | 200 E  62ND                         ST,False,,False,address,lowercase,False,False,address,no_change
la,Los Angeles,Cross Street,object,0.165313,15TH | WALL | AVENUE 51 | TRUESDALE | DRELL | TOBIAS | BROADWAY | GLORIA | SUNBURST | EAGLE ROCK | PARK | 73RD | GAGE | RIMPAU | SAN PEDRO | MAIN | WASHINGTON                   BL | 61ST | VERNON | ASCOT,True,Cross Street of rounded Address.,False,cross_street,lowercase | replace_special_chars,False,False,cross_street,no_change
la,Los Angeles,Location ,object,1.0,"{'latitude': '34.0454', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.3157'} | {'latitude': '33.9572', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2717'} | {'latitude': '34.1211', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2048'} | {'latitude': '34.241', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.3987'} | {'latitude': '34.3147', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4589'} | {'latitude': '34.2354', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4517'} | {'latitude': '34.0294', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2671'} | {'latitude': '34.2139', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4793'} | {'latitude': '34.255', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4103'} | {'latitude': '34.1351', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2153'} | {'latitude': '33.9651', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2783'} | {'latitude': '34.0896', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2105'} | {'latitude': '34.0825', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.25'} | {'latitude': '34.1059', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.1958'} | {'latitude': '33.9738', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2739'} | {'latitude': '33.9824', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2827'} | {'latitude': '33.9872', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.3399'} | {'latitude': '33.9722', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2695'} | {'latitude': '33.9869', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2739'} | {'latitude': '33.9834', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2718'}",True,Street address of crime incident rounded to the nearest hundred block to maintain anonymity.,False,location,trim_whitespace | lowercase,False,False,location,no_change
